date,user,account,amount,memo
2024-01-04 08:00:00,JDOE,2000-AP,20678.41,Rev Recog
2024-01-04 09:00:00,JDOE,2000-AP,1307.65,Rev Recog
2024-01-04 10:00:00,AKHAN,6000-Exp,45.13,Rev Recog
2024-01-04 11:00:00,FIN_AR,3000-AR,2.08,Rev Recog
2024-01-04 12:00:00,SYS_BOT,6000-Exp,3927.0,Refund
2024-01-04 13:00:00,JDOE,2000-AP,42.26,Refund
2024-01-04 14:00:00,JDOE,4000-Rev,-4446.63,Invoice
2024-01-04 15:00:00,FIN_AP,5000-COGS,-1540.95,Refund
2024-01-04 16:00:00,FIN_AP,6000-Exp,27293.78,Invoice
2024-01-04 17:00:00,AKHAN,3000-AR,-229.65,Top-side
2024-01-04 18:00:00,FIN_AP,4000-Rev,3.96,Receipt
2024-01-04 19:00:00,MALI,6000-Exp,3683.19,Adj
2024-01-04 20:00:00,JDOE,4000-Rev,-6366.86,Refund
2024-01-04 21:00:00,FIN_AP,6000-Exp,640.3,Refund
2024-01-04 22:00:00,FIN_AR,4000-Rev,7158.73,Top-side
2024-01-04 23:00:00,MALI,1000-Cash,0.0,Refund
2024-01-05 00:00:00,AKHAN,4000-Rev,410.83,Invoice
2024-01-05 01:00:00,SYS_BOT,1000-Cash,137.31,Invoice
2024-01-05 02:00:00,JDOE,2000-AP,1.34,Receipt
2024-01-05 03:00:00,JDOE,1000-Cash,3.46,Receipt
2024-01-05 04:00:00,FIN_AR,4000-Rev,1.44,Receipt
2024-01-05 05:00:00,SYS_BOT,5000-COGS,-1520.73,Invoice
2024-01-05 06:00:00,SYS_BOT,5000-COGS,-37.31,Rev Recog
2024-01-05 07:00:00,AKHAN,2000-AP,349.02,Rev Recog
2024-01-05 08:00:00,AKHAN,4000-Rev,-34501.05,Receipt
2024-01-05 09:00:00,MALI,1000-Cash,-17.64,Receipt
2024-01-05 10:00:00,JDOE,5000-COGS,112.7,Invoice
2024-01-05 11:00:00,FIN_AP,6000-Exp,-5994.54,Top-side
2024-01-05 12:00:00,AKHAN,3000-AR,13.93,Refund
2024-01-05 13:00:00,FIN_AR,4000-Rev,2.43,Adj
2024-01-05 14:00:00,FIN_AR,6000-Exp,28.1,Rev Recog
2024-01-05 15:00:00,FIN_AR,6000-Exp,6.4,Rev Recog
2024-01-05 16:00:00,AKHAN,4000-Rev,-44513.14,Invoice
2024-01-05 17:00:00,AKHAN,3000-AR,10979.99,Invoice
2024-01-05 18:00:00,FIN_AR,5000-COGS,1468.99,Adj
2024-01-05 19:00:00,AKHAN,3000-AR,22766.85,Adj
2024-01-05 20:00:00,FIN_AP,2000-AP,2897.0,Receipt
2024-01-05 21:00:00,FIN_AP,1000-Cash,8.57,Adj
2024-01-05 22:00:00,MALI,1000-Cash,29026.52,Refund
2024-01-05 23:00:00,JDOE,6000-Exp,-497.41,Refund
2024-01-06 00:00:00,FIN_AP,5000-COGS,10894.34,Rev Recog
2024-01-06 01:00:00,MALI,3000-AR,30231.28,Refund
2024-01-06 02:00:00,SYS_BOT,6000-Exp,-38.91,Refund
2024-01-06 03:00:00,JDOE,4000-Rev,3.55,Refund
2024-01-06 04:00:00,FIN_AP,6000-Exp,-13.79,Receipt
2024-01-06 05:00:00,SYS_BOT,4000-Rev,136.63,Rev Recog
2024-01-06 06:00:00,MALI,4000-Rev,12304.78,Invoice
2024-01-06 07:00:00,FIN_AP,2000-AP,-20121.16,Rev Recog
2024-01-06 08:00:00,FIN_AP,2000-AP,1.08,Rev Recog
2024-01-06 09:00:00,AKHAN,4000-Rev,-357.88,Rev Recog
2024-01-06 10:00:00,SYS_BOT,5000-COGS,122.2,Adj
2024-01-06 11:00:00,FIN_AP,2000-AP,-12.9,Invoice
2024-01-06 12:00:00,FIN_AR,2000-AP,3.97,Adj
2024-01-06 13:00:00,AKHAN,1000-Cash,4918.0,Receipt
2024-01-06 14:00:00,AKHAN,6000-Exp,51826.1,Receipt
2024-01-06 15:00:00,FIN_AP,1000-Cash,41.31,Top-side
2024-01-06 16:00:00,AKHAN,5000-COGS,392.6,Top-side
2024-01-06 17:00:00,JDOE,2000-AP,0.0,Receipt
2024-01-06 18:00:00,SYS_BOT,2000-AP,65.79,Receipt
2024-01-06 19:00:00,JDOE,3000-AR,72262.07,Adj
2024-01-06 20:00:00,MALI,5000-COGS,64898.77,Receipt
2024-01-06 21:00:00,JDOE,6000-Exp,-18.15,Invoice
2024-01-06 22:00:00,FIN_AR,6000-Exp,306.37,Adj
2024-01-06 23:00:00,AKHAN,6000-Exp,-31.94,Receipt
2024-01-07 00:00:00,AKHAN,5000-COGS,0.0,Adj
2024-01-07 01:00:00,FIN_AR,3000-AR,1.53,Adj
2024-01-07 02:00:00,AKHAN,3000-AR,1116.4,Refund
2024-01-07 03:00:00,JDOE,1000-Cash,-326.13,Top-side
2024-01-07 04:00:00,MALI,5000-COGS,-1.81,Adj
2024-01-07 05:00:00,FIN_AP,5000-COGS,24.73,Rev Recog
2024-01-07 06:00:00,FIN_AR,3000-AR,34779.99,Adj
2024-01-07 07:00:00,JDOE,4000-Rev,15.77,Rev Recog
2024-01-07 08:00:00,JDOE,4000-Rev,5.3,Refund
2024-01-07 09:00:00,JDOE,1000-Cash,280.07,Receipt
2024-01-07 10:00:00,FIN_AP,4000-Rev,84771.97,Adj
2024-01-07 11:00:00,SYS_BOT,4000-Rev,-16.23,Refund
2024-01-07 12:00:00,AKHAN,4000-Rev,2294.45,Invoice
2024-01-07 13:00:00,AKHAN,2000-AP,-4096.0,Refund
2024-01-07 14:00:00,MALI,1000-Cash,15.42,Top-side
2024-01-07 15:00:00,SYS_BOT,3000-AR,-4376.04,Top-side
2024-01-07 16:00:00,AKHAN,4000-Rev,69.01,Receipt
2024-01-07 17:00:00,MALI,6000-Exp,-1450.54,Rev Recog
2024-01-07 18:00:00,MALI,2000-AP,-1471.12,Receipt
2024-01-07 19:00:00,JDOE,4000-Rev,477.39,Rev Recog
2024-01-07 20:00:00,FIN_AR,2000-AP,-2.83,Rev Recog
2024-01-07 21:00:00,JDOE,1000-Cash,-15014.56,Rev Recog
2024-01-07 22:00:00,FIN_AP,6000-Exp,40.17,Rev Recog
2024-01-07 23:00:00,AKHAN,6000-Exp,-6673.0,Top-side
2024-01-08 00:00:00,MALI,6000-Exp,-1.6,Top-side
2024-01-08 01:00:00,FIN_AR,4000-Rev,0.0,Adj
2024-01-08 02:00:00,AKHAN,2000-AP,2442.43,Top-side
2024-01-08 03:00:00,MALI,6000-Exp,2649.0,Receipt
2024-01-08 04:00:00,MALI,5000-COGS,363.47,Top-side
2024-01-08 05:00:00,JDOE,5000-COGS,1892.0,Receipt
2024-01-08 06:00:00,FIN_AR,2000-AP,-1682.15,Invoice
2024-01-08 07:00:00,FIN_AR,4000-Rev,7.44,Top-side
2024-01-08 08:00:00,AKHAN,4000-Rev,2848.98,Receipt
2024-01-08 09:00:00,MALI,1000-Cash,4534.0,Rev Recog
2024-01-08 10:00:00,FIN_AR,1000-Cash,48266.96,Refund
2024-01-08 11:00:00,FIN_AR,6000-Exp,-4.87,Rev Recog
2024-01-08 12:00:00,AKHAN,3000-AR,50.74,Adj
2024-01-08 13:00:00,JDOE,1000-Cash,3.69,Receipt
2024-01-08 14:00:00,SYS_BOT,4000-Rev,0.0,Rev Recog
2024-01-08 15:00:00,FIN_AP,3000-AR,-24361.09,Top-side
2024-01-08 16:00:00,SYS_BOT,1000-Cash,-19.49,Top-side
2024-01-08 17:00:00,FIN_AR,2000-AP,-1994.9,Invoice
2024-01-08 18:00:00,MALI,5000-COGS,12193.01,Refund
2024-01-08 19:00:00,FIN_AP,1000-Cash,-597.04,Receipt
2024-01-08 20:00:00,FIN_AP,1000-Cash,-444.89,Rev Recog
2024-01-08 21:00:00,MALI,2000-AP,16.19,Refund
2024-01-08 22:00:00,FIN_AP,4000-Rev,-2.92,Invoice
2024-01-08 23:00:00,MALI,6000-Exp,30625.19,Adj
2024-01-09 00:00:00,FIN_AP,2000-AP,31775.35,Refund
2024-01-09 01:00:00,AKHAN,6000-Exp,1463.89,Invoice
2024-01-09 02:00:00,AKHAN,1000-Cash,49.56,Receipt
2024-01-09 03:00:00,SYS_BOT,4000-Rev,55.72,Adj
2024-01-09 04:00:00,FIN_AP,3000-AR,4263.62,Top-side
2024-01-09 05:00:00,JDOE,1000-Cash,-30588.02,Invoice
2024-01-09 06:00:00,MALI,2000-AP,-27254.12,Top-side
2024-01-09 07:00:00,FIN_AP,3000-AR,-7931.91,Adj
2024-01-09 08:00:00,AKHAN,5000-COGS,1622.4,Invoice
2024-01-09 09:00:00,AKHAN,3000-AR,2.63,Invoice
2024-01-09 10:00:00,MALI,2000-AP,6.43,Adj
2024-01-09 11:00:00,JDOE,3000-AR,31100.76,Receipt
2024-01-09 12:00:00,FIN_AP,2000-AP,-1076.83,Invoice
2024-01-09 13:00:00,FIN_AP,1000-Cash,1.11,Adj
2024-01-09 14:00:00,JDOE,4000-Rev,3.22,Refund
2024-01-09 15:00:00,JDOE,5000-COGS,-2077.35,Top-side
2024-01-09 16:00:00,JDOE,4000-Rev,1.06,Invoice
2024-01-09 17:00:00,AKHAN,4000-Rev,-6.37,Refund
2024-01-09 18:00:00,MALI,4000-Rev,554.2,Invoice
2024-01-09 19:00:00,JDOE,2000-AP,2880.55,Receipt
2024-01-09 20:00:00,MALI,2000-AP,-0.0,Adj
2024-01-09 21:00:00,SYS_BOT,5000-COGS,13.22,Invoice
2024-01-09 22:00:00,FIN_AP,2000-AP,3638.28,Adj
2024-01-09 23:00:00,FIN_AP,6000-Exp,15.35,Rev Recog
2024-01-10 00:00:00,FIN_AR,2000-AP,42.36,Invoice
2024-01-10 01:00:00,SYS_BOT,2000-AP,-5400.79,Receipt
2024-01-10 02:00:00,JDOE,2000-AP,1770.78,Receipt
2024-01-10 03:00:00,JDOE,1000-Cash,17624.51,Refund
2024-01-10 04:00:00,AKHAN,5000-COGS,1941.17,Receipt
2024-01-10 05:00:00,SYS_BOT,6000-Exp,-4190.0,Adj
2024-01-10 06:00:00,JDOE,2000-AP,2997.0,Rev Recog
2024-01-10 07:00:00,FIN_AR,5000-COGS,68.96,Receipt
2024-01-10 08:00:00,MALI,3000-AR,-21.18,Invoice
2024-01-10 09:00:00,FIN_AP,1000-Cash,16.59,Receipt
2024-01-10 10:00:00,SYS_BOT,2000-AP,-73291.36,Rev Recog
2024-01-10 11:00:00,FIN_AP,6000-Exp,92.36,Adj
2024-01-10 12:00:00,MALI,1000-Cash,-28855.78,Invoice
2024-01-10 13:00:00,SYS_BOT,6000-Exp,1431.18,Refund
2024-01-10 14:00:00,MALI,1000-Cash,9420.12,Refund
2024-01-10 15:00:00,JDOE,3000-AR,325.98,Refund
2024-01-10 16:00:00,JDOE,5000-COGS,766.51,Invoice
2024-01-10 17:00:00,JDOE,1000-Cash,8541.0,Refund
2024-01-10 18:00:00,MALI,4000-Rev,9.47,Receipt
2024-01-10 19:00:00,MALI,3000-AR,-4095.06,Invoice
2024-01-10 20:00:00,MALI,4000-Rev,-25.34,Invoice
2024-01-10 21:00:00,FIN_AP,3000-AR,1.32,Invoice
2024-01-10 22:00:00,MALI,4000-Rev,-1687.96,Top-side
2024-01-10 23:00:00,JDOE,4000-Rev,7092.0,Adj
2024-01-11 00:00:00,FIN_AR,6000-Exp,50384.03,Top-side
2024-01-11 01:00:00,MALI,1000-Cash,-58835.97,Top-side
2024-01-11 02:00:00,FIN_AR,1000-Cash,37525.11,Top-side
2024-01-11 03:00:00,JDOE,3000-AR,70.92,Adj
2024-01-11 04:00:00,MALI,5000-COGS,1.19,Top-side
2024-01-11 05:00:00,FIN_AP,6000-Exp,43811.97,Refund
2024-01-11 06:00:00,FIN_AP,1000-Cash,138.33,Invoice
2024-01-11 07:00:00,FIN_AR,1000-Cash,-68119.91,Invoice
2024-01-11 08:00:00,AKHAN,6000-Exp,65780.91,Receipt
2024-01-11 09:00:00,FIN_AP,2000-AP,0.0,Rev Recog
2024-01-11 10:00:00,FIN_AP,6000-Exp,29.67,Refund
2024-01-11 11:00:00,FIN_AP,1000-Cash,-84.23,Adj
2024-01-11 12:00:00,JDOE,5000-COGS,-18017.04,Rev Recog
2024-01-11 13:00:00,FIN_AP,2000-AP,38.42,Invoice
2024-01-11 14:00:00,SYS_BOT,4000-Rev,7.04,Top-side
2024-01-11 15:00:00,MALI,6000-Exp,608.14,Receipt
2024-01-11 16:00:00,FIN_AP,4000-Rev,47948.37,Receipt
2024-01-11 17:00:00,AKHAN,2000-AP,3020.99,Invoice
2024-01-11 18:00:00,AKHAN,2000-AP,1201.0,Refund
2024-01-11 19:00:00,FIN_AP,2000-AP,-3.06,Rev Recog
2024-01-11 20:00:00,FIN_AP,3000-AR,-1188.6,Receipt
2024-01-11 21:00:00,SYS_BOT,6000-Exp,-89180.37,Invoice
2024-01-11 22:00:00,FIN_AP,5000-COGS,5.02,Refund
2024-01-11 23:00:00,FIN_AP,5000-COGS,390.52,Invoice
2024-01-12 00:00:00,MALI,4000-Rev,24370.55,Invoice
2024-01-12 01:00:00,AKHAN,4000-Rev,5056.42,Refund
2024-01-12 02:00:00,SYS_BOT,4000-Rev,3055.47,Refund
2024-01-12 03:00:00,AKHAN,6000-Exp,3254.02,Refund
2024-01-12 04:00:00,SYS_BOT,1000-Cash,62.73,Invoice
2024-01-12 05:00:00,AKHAN,4000-Rev,-29.37,Receipt
2024-01-12 06:00:00,FIN_AP,2000-AP,-11137.96,Adj
2024-01-12 07:00:00,AKHAN,4000-Rev,11234.84,Adj
2024-01-12 08:00:00,AKHAN,2000-AP,21645.2,Invoice
2024-01-12 09:00:00,SYS_BOT,3000-AR,36830.09,Invoice
2024-01-12 10:00:00,FIN_AR,1000-Cash,360.34,Receipt
2024-01-12 11:00:00,SYS_BOT,1000-Cash,321.8,Refund
2024-01-12 12:00:00,SYS_BOT,6000-Exp,-9805.64,Invoice
2024-01-12 13:00:00,SYS_BOT,6000-Exp,-1777.54,Top-side
2024-01-12 14:00:00,JDOE,5000-COGS,-3234.7,Refund
2024-01-12 15:00:00,JDOE,3000-AR,9527.16,Invoice
2024-01-12 16:00:00,JDOE,6000-Exp,-28185.56,Top-side
2024-01-12 17:00:00,SYS_BOT,2000-AP,48.98,Rev Recog
2024-01-12 18:00:00,FIN_AR,3000-AR,75.49,Receipt
2024-01-12 19:00:00,SYS_BOT,1000-Cash,2.95,Top-side
2024-01-12 20:00:00,FIN_AP,2000-AP,-778.75,Invoice
2024-01-12 21:00:00,FIN_AR,3000-AR,1.51,Adj
2024-01-12 22:00:00,JDOE,1000-Cash,212.81,Invoice
2024-01-12 23:00:00,AKHAN,6000-Exp,516.68,Adj
2024-01-13 00:00:00,AKHAN,2000-AP,27.08,Receipt
2024-01-13 01:00:00,MALI,2000-AP,-899.84,Receipt
2024-01-13 02:00:00,FIN_AR,1000-Cash,1.42,Refund
2024-01-13 03:00:00,JDOE,2000-AP,1.54,Refund
2024-01-13 04:00:00,FIN_AR,6000-Exp,12971.88,Adj
2024-01-13 05:00:00,FIN_AR,6000-Exp,63.23,Adj
2024-01-13 06:00:00,AKHAN,6000-Exp,4.32,Receipt
2024-01-13 07:00:00,SYS_BOT,1000-Cash,-408.52,Top-side
2024-01-13 08:00:00,FIN_AP,4000-Rev,8466.0,Adj
2024-01-13 09:00:00,MALI,4000-Rev,12.0,Adj
2024-01-13 10:00:00,JDOE,2000-AP,1301.52,Top-side
2024-01-13 11:00:00,FIN_AR,6000-Exp,2.67,Refund
2024-01-13 12:00:00,MALI,2000-AP,1.81,Refund
2024-01-13 13:00:00,FIN_AR,1000-Cash,453.7,Adj
2024-01-13 14:00:00,AKHAN,2000-AP,-504.87,Refund
2024-01-13 15:00:00,FIN_AP,5000-COGS,1538.68,Refund
2024-01-13 16:00:00,AKHAN,4000-Rev,4270.28,Rev Recog
2024-01-13 17:00:00,MALI,2000-AP,75728.68,Refund
2024-01-13 18:00:00,JDOE,2000-AP,381.51,Receipt
2024-01-13 19:00:00,FIN_AR,3000-AR,41.19,Invoice
2024-01-13 20:00:00,FIN_AP,2000-AP,-9460.87,Adj
2024-01-13 21:00:00,AKHAN,5000-COGS,22.6,Adj
2024-01-13 22:00:00,MALI,4000-Rev,156.62,Receipt
2024-01-13 23:00:00,AKHAN,3000-AR,2.47,Invoice
2024-01-14 00:00:00,FIN_AR,1000-Cash,1.34,Invoice
2024-01-14 01:00:00,FIN_AR,1000-Cash,65049.22,Receipt
2024-01-14 02:00:00,JDOE,4000-Rev,-15132.15,Top-side
2024-01-14 03:00:00,FIN_AP,1000-Cash,3019.06,Top-side
2024-01-14 04:00:00,SYS_BOT,5000-COGS,110.86,Invoice
2024-01-14 05:00:00,AKHAN,2000-AP,-7.35,Top-side
2024-01-14 06:00:00,FIN_AR,4000-Rev,-6.06,Top-side
2024-01-14 07:00:00,MALI,3000-AR,6656.0,Top-side
2024-01-14 08:00:00,AKHAN,2000-AP,-557.36,Invoice
2024-01-14 09:00:00,JDOE,1000-Cash,3740.93,Top-side
2024-01-14 10:00:00,JDOE,1000-Cash,-1999.8,Adj
2024-01-14 11:00:00,FIN_AR,3000-AR,-25.1,Rev Recog
2024-01-14 12:00:00,FIN_AR,5000-COGS,6782.0,Invoice
2024-01-14 13:00:00,FIN_AR,3000-AR,4891.98,Receipt
2024-01-14 14:00:00,SYS_BOT,4000-Rev,591.25,Top-side
2024-01-14 15:00:00,FIN_AR,3000-AR,1144.47,Refund
2024-01-14 16:00:00,AKHAN,1000-Cash,125.31,Invoice
2024-01-14 17:00:00,AKHAN,5000-COGS,17.32,Receipt
2024-01-14 18:00:00,FIN_AP,5000-COGS,60.24,Rev Recog
2024-01-14 19:00:00,MALI,6000-Exp,7679.0,Adj
2024-01-14 20:00:00,FIN_AR,3000-AR,-1.18,Receipt
2024-01-14 21:00:00,AKHAN,4000-Rev,-3.81,Top-side
2024-01-14 22:00:00,AKHAN,1000-Cash,1.7,Refund
2024-01-14 23:00:00,AKHAN,2000-AP,1.6,Top-side
2024-01-15 00:00:00,SYS_BOT,5000-COGS,-18936.64,Receipt
2024-01-15 01:00:00,MALI,3000-AR,-3298.29,Invoice
2024-01-15 02:00:00,JDOE,6000-Exp,-234.89,Refund
2024-01-15 03:00:00,AKHAN,4000-Rev,3.08,Refund
2024-01-15 04:00:00,FIN_AR,4000-Rev,287.13,Receipt
2024-01-15 05:00:00,AKHAN,1000-Cash,-233.0,Rev Recog
2024-01-15 06:00:00,MALI,5000-COGS,7.35,Rev Recog
2024-01-15 07:00:00,JDOE,1000-Cash,147.66,Top-side
2024-01-15 08:00:00,SYS_BOT,6000-Exp,98.29,Receipt
2024-01-15 09:00:00,FIN_AP,2000-AP,-0.0,Refund
2024-01-15 10:00:00,FIN_AR,2000-AP,1497.85,Receipt
2024-01-15 11:00:00,FIN_AP,2000-AP,1.68,Refund
2024-01-15 12:00:00,SYS_BOT,4000-Rev,74.66,Top-side
2024-01-15 13:00:00,MALI,5000-COGS,-1346.79,Invoice
2024-01-15 14:00:00,MALI,1000-Cash,327.85,Invoice
2024-01-15 15:00:00,SYS_BOT,1000-Cash,19162.37,Receipt
2024-01-15 16:00:00,AKHAN,6000-Exp,823.0,Refund
2024-01-15 17:00:00,SYS_BOT,2000-AP,-6.53,Invoice
2024-01-15 18:00:00,FIN_AR,5000-COGS,2.25,Refund
2024-01-15 19:00:00,JDOE,5000-COGS,-1629.66,Top-side
2024-01-15 20:00:00,FIN_AP,6000-Exp,1.36,Receipt
2024-01-15 21:00:00,FIN_AP,3000-AR,848.94,Refund
2024-01-15 22:00:00,MALI,5000-COGS,8229.0,Receipt
2024-01-15 23:00:00,AKHAN,5000-COGS,0.0,Refund
2024-01-16 00:00:00,MALI,1000-Cash,87.27,Rev Recog
2024-01-16 01:00:00,FIN_AR,6000-Exp,1646.04,Rev Recog
2024-01-16 02:00:00,SYS_BOT,5000-COGS,195.55,Refund
2024-01-16 03:00:00,FIN_AP,5000-COGS,-534.67,Top-side
2024-01-16 04:00:00,FIN_AR,1000-Cash,50971.1,Receipt
2024-01-16 05:00:00,MALI,5000-COGS,85.21,Adj
2024-01-16 06:00:00,MALI,1000-Cash,63966.53,Refund
2024-01-16 07:00:00,FIN_AP,3000-AR,33632.04,Refund
2024-01-16 08:00:00,MALI,4000-Rev,9.53,Rev Recog
2024-01-16 09:00:00,AKHAN,1000-Cash,2.22,Invoice
2024-01-16 10:00:00,MALI,1000-Cash,3.19,Rev Recog
2024-01-16 11:00:00,JDOE,5000-COGS,1.23,Receipt
2024-01-16 12:00:00,SYS_BOT,1000-Cash,2.97,Rev Recog
2024-01-16 13:00:00,MALI,6000-Exp,2600.36,Adj
2024-01-16 14:00:00,JDOE,2000-AP,-2.27,Top-side
2024-01-16 15:00:00,FIN_AR,2000-AP,-39.34,Adj
2024-01-16 16:00:00,MALI,3000-AR,16763.96,Top-side
2024-01-16 17:00:00,AKHAN,1000-Cash,1.31,Adj
2024-01-16 18:00:00,FIN_AR,6000-Exp,11812.52,Rev Recog
2024-01-16 19:00:00,MALI,5000-COGS,25.66,Adj
2024-01-16 20:00:00,FIN_AP,5000-COGS,-3.9,Rev Recog
2024-01-16 21:00:00,JDOE,4000-Rev,3045.69,Rev Recog
2024-01-16 22:00:00,JDOE,3000-AR,-1395.45,Receipt
2024-01-16 23:00:00,FIN_AP,6000-Exp,-24398.33,Rev Recog
2024-01-17 00:00:00,SYS_BOT,6000-Exp,4735.38,Invoice
2024-01-17 01:00:00,AKHAN,5000-COGS,-10408.9,Adj
2024-01-17 02:00:00,JDOE,4000-Rev,25.71,Refund
2024-01-17 03:00:00,FIN_AR,5000-COGS,7.71,Refund
2024-01-17 04:00:00,AKHAN,4000-Rev,5663.35,Refund
2024-01-17 05:00:00,JDOE,2000-AP,-10818.67,Invoice
2024-01-17 06:00:00,SYS_BOT,6000-Exp,89644.93,Rev Recog
2024-01-17 07:00:00,FIN_AR,2000-AP,-115.63,Adj
2024-01-17 08:00:00,AKHAN,5000-COGS,72.46,Top-side
